Name,Earnings,Age,Club,Photo
CristianoRonaldo,285,39,AlNassr,https://imageio.forbes.com/specials-images/imageserve/670eb6bbbba0c0e5b061a601/Al-Nassr-s-Cristiano-Ronaldo-/0x0.jpg?format=jpg&width=1440
LeoMessi,135,37,InterMaiami,https://imageio.forbes.com/specials-images/imageserve/670eb6e50626aec898fd8d66/Inter-Miami-s-Lionel-Messi-/0x0.jpg?format=jpg&width=1440
Neymar,110,32,Al Hilal,https://tmssl.akamaized.net//images/foto/galerie/neymar-brazil-2023-1694521247-116480.jpg?lm=1694521259
KarimBenzema,104,36,AlIttihad,https://imageio.forbes.com/specials-images/imageserve/670eb71bb676188fe1956dc9/Al-Ittihad-s-Karim-Benzema-/0x0.jpg?format=jpg&width=1440
KylianMbappé,90,25,RealMadrid, https://imageio.forbes.com/specials-images/imageserve/670eb735b6524532e3f29788/Real-Madrid-s-Kylian-Mbappe-/0x0.jpg?format=jpg&width=1440
ErlingHaaland,60,24,ManchesterCity, https://imageio.forbes.com/specials-images/imageserve/670eb74abc5b91b2d87f3b3c/Manchester-City-s-Erling-Haaland-/0x0.jpg?format=jpg&width=1440
ViniciusJunior,55,24,https://imageio.forbes.com/specials-images/imageserve/670eb76745cc1703fc24b828/Real-Madrid-s-Vinicius-Jr-/0x0.jpg?format=jpg&width=1440
MohamedSalah,53,32,FCLiverpool,https://imageio.forbes.com/specials-images/imageserve/670eb7807604972bf371f6f0/Liverpool-s-Mohamed-Salah-/0x0.jpg?format=jpg&width=1440
SadioMané,52,32,AlNassr,https://imageio.forbes.com/specials-images/imageserve/670eb7a4f869200121f4771a/Al-Nassr-s-Sadio-Man--/0x0.jpg?format=jpg&width=1440
KevinDeBruyne,39,33,ManchesterCity,https://imageio.forbes.com/specials-images/imageserve/670eb7d5fda4705147df80c3/Manchester-City-s-Kevin-De-Bruyne-/0x0.jpg?format=jpg&width=1440
